scenario_id,transformer_kva,base_load_kw,feeder_length_km,cable_type,r1,x1,r0,x0,phase_balance_class,num_chargers_installed,num_chargers_active,charger_power_kw,total_active_power_kw,total_reactive_power_kvar,total_losses_kw,transformer_loading_pct,parkingbus_voltage_kv,min_bus_voltage_pu,overload_flag,undervoltage_flag,compatibility_class,recommended_max_active_chargers,recommended_max_power_per_charger_kw,charger_total_kw,load_ratio
case_000066,400,250,0.5,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,18,50.0,448.886,154.786,253.33,112.221,0.070562,0.305542,1,1,not_compatible,0,0.0,900.0,1.122215
case_000067,100,120,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,10,6,7.4,117.088,42.441,35.075,117.088,0.14504,0.628044,1,1,not_compatible,0,0.0,44.400000000000006,1.17088
case_000068,100,120,0.5,B_medium,0.2,0.08,0.4,0.16,mildly_unbalanced,20,14,22.0,301.703,127.956,75.946,301.703,0.141002,0.610557,1,1,not_compatible,0,0.0,308.0,3.0170299999999997
case_000069,400,80,0.5,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,10,6,50.0,334.686,105.218,50.483,83.671,0.17308,0.749457,0,1,not_compatible,0,0.0,300.0,0.836715
case_000070,100,120,0.05,A_strong,0.1,0.05,0.2,0.1,balanced,20,15,11.0,286.83,110.932,6.74,286.83,0.217079,0.939978,1,1,not_compatible,0,0.0,165.0,2.8682999999999996
case_000071,400,80,0.05,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,25,11.0,355.802,100.281,20.413,88.95,0.207728,0.89949,0,1,not_compatible,7,3.7,275.0,0.8895050000000001
case_000072,500,80,0.05,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,10,9,22.0,282.652,77.125,4.652,56.53,0.222915,0.965252,0,0,compatible,10,22.0,198.0,0.565304
case_000073,400,250,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,10,8,11.0,182.375,61.915,82.434,45.594,0.107613,0.465979,0,1,not_compatible,0,0.0,88.0,0.4559375
case_000074,100,250,0.5,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,10,7,7.4,214.014,88.786,61.104,214.014,0.153008,0.662543,1,1,not_compatible,0,0.0,51.800000000000004,2.14014
case_000075,100,80,0.5,A_strong,0.1,0.05,0.2,0.1,balanced,40,40,50.0,749.07,602.394,326.031,749.07,0.100624,0.435716,1,1,not_compatible,0,0.0,2000.0,7.4907
case_000076,400,250,0.2,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,30,28,11.0,489.588,166.447,76.642,122.397,0.17481,0.756949,1,1,not_compatible,0,0.0,308.0,1.22397
case_000077,400,120,1.0,C_weak,0.35,0.12,0.7,0.24,balanced,30,25,22.0,250.675,81.142,152.616,62.669,0.084235,0.364747,0,1,not_compatible,0,0.0,550.0,0.6266875000000001
case_000078,400,80,0.2,B_medium,0.2,0.08,0.4,0.16,balanced,30,20,50.0,825.752,286.191,199.168,206.438,0.166723,0.721931,1,1,not_compatible,0,0.0,1000.0,2.06438
