name_ar,name_en,caza_ar,is_municipality,source,added_at
بيرة الشوف,Biret Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
عقتنيت,Aaqtanit,صيدا,yes,Towns.xlsx,2026-05-31
دير الاحمر,Deir El-Ahmar,بعلبك,yes,Towns.xlsx,2026-05-31
طلوسة,Talloussa,مرجعيون,yes,Towns.xlsx,2026-05-31
مزيارة,Miziara,زغرتا,no,Towns.xlsx,2026-05-31
المروج,Mrouj,المتن,yes,Towns.xlsx,2026-05-31
قنابة برمانا,Qennabet Broummana,المتن,yes,Towns.xlsx,2026-05-31
عين المريسه,Ain el-Mreisseh,بيروت,no,Towns.xlsx,2026-05-31
زرارية,Zrariyeh,صيدا,no,Towns.xlsx,2026-05-31
صريفا,Srifa,صور,yes,Towns.xlsx,2026-05-31
منصورية بحمدون,Mansouriyet Bhamdoun,عاليه,no,Towns.xlsx,2026-05-31
بيت شباب,Beit Chabab,المتن,yes,Towns.xlsx,2026-05-31
معاصر الشوف,Maasser Ech-Chouf,الشوف,yes,Towns.xlsx,2026-05-31
طرابلس الرمانة,Trablous Er-Remmaneh,طرابلس,no,Towns.xlsx,2026-05-31
خريبة بعبدا,Khreibet Baabda,بعبدا,no,Towns.xlsx,2026-05-31
طرابلس التبانة,Trablous et Tabbaneh,طرابلس,no,Towns.xlsx,2026-05-31
مجدل عنجر,Majdel Aanjar,زحلة,yes,Towns.xlsx,2026-05-31
بنشعي,Bnechaai,زغرتا,yes,Towns.xlsx,2026-05-31
قبيع,Qobbayaa,بعبدا,yes,Towns.xlsx,2026-05-31
صلايب,Salaiyeb,حاصبيا,no,Towns.xlsx,2026-05-31
سلعاتا,Selaata,البترون,yes,Towns.xlsx,2026-05-31
فوارة جعفر,Faouarat Jaafar,الشوف,no,Towns.xlsx,2026-05-31
انطلياس,Antelias,المتن,no,Towns.xlsx,2026-05-31
برصا,Barsa,الكورة,no,Towns.xlsx,2026-05-31
اهمج,Ehmej,جبيل,yes,Towns.xlsx,2026-05-31
قلويه,Qalaouiyeh,بنت جبيل,no,Towns.xlsx,2026-05-31
بنابيل,Bnabil,المتن,no,Towns.xlsx,2026-05-31
شحتول,Chahtoul,كسروان,no,Towns.xlsx,2026-05-31
بساتين طرابلس,Trablous jardins,طرابلس,no,Towns.xlsx,2026-05-31
ذوق حدارة,Zouq El-Hadara,عكار,no,Towns.xlsx,2026-05-31
برقا,Barqa,بعلبك,no,Towns.xlsx,2026-05-31
كفرحي,Kfar Hay,البترون,yes,Towns.xlsx,2026-05-31
نبطية التحتا,Nabatieh Et-Tahta,النبطية,no,Towns.xlsx,2026-05-31
غندورية بنت جبيل,Ghandouriyet Bent Jbeil,بنت جبيل,no,Towns.xlsx,2026-05-31
بيت شاما,Beit Chama,بعلبك,yes,Towns.xlsx,2026-05-31
دير القمر,Deir El-Qamar,الشوف,yes,Towns.xlsx,2026-05-31
زوطر الغربية,Zaoutar El-Gharbiyeh,النبطية,yes,Towns.xlsx,2026-05-31
كفرفاقود,Kfar Faqoud,الشوف,yes,Towns.xlsx,2026-05-31
عين حرشة,Aain Rouha,راشيا,yes,Towns.xlsx,2026-05-31
كفر مشكي,Kfar Lichki,راشيا,no,Towns.xlsx,2026-05-31
طرابلس الزاهرية,Trablous Ez-Zahrieh,طرابلس,no,Towns.xlsx,2026-05-31
