alias_id,registry_id,municipality_id,source_basis,alias_type,alias_value,language,is_primary,confidence,source
ALIAS-MUN-MOIM-2025-e3b8e68446b2-001,MUN-MOIM-2025-e3b8e68446b2,,moim_2025_election_results_unmatched_to_dglac,primary_ar,رماسا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-e3b8e68446b2-002,MUN-MOIM-2025-e3b8e68446b2,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_رماسا,en,false,high,registry
ALIAS-MUN-MOIM-2025-69ca9216f9eb-001,MUN-MOIM-2025-69ca9216f9eb,,moim_2025_election_results_unmatched_to_dglac,primary_ar,شليفا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-69ca9216f9eb-002,MUN-MOIM-2025-69ca9216f9eb,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_شليفا,en,false,high,registry
ALIAS-MUN-MOIM-2025-ee900fa51d97-001,MUN-MOIM-2025-ee900fa51d97,,moim_2025_election_results_unmatched_to_dglac,primary_ar,عرسال,ar,true,high,registry
ALIAS-MUN-MOIM-2025-ee900fa51d97-002,MUN-MOIM-2025-ee900fa51d97,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_عرسال,en,false,high,registry
ALIAS-MUN-MOIM-2025-25d0de3f77a9-001,MUN-MOIM-2025-25d0de3f77a9,,moim_2025_election_results_unmatched_to_dglac,primary_ar,فالوى,ar,true,high,registry
ALIAS-MUN-MOIM-2025-25d0de3f77a9-002,MUN-MOIM-2025-25d0de3f77a9,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_فالوى,en,false,high,registry
ALIAS-MUN-MOIM-2025-b04ae3c4d3c3-001,MUN-MOIM-2025-b04ae3c4d3c3,,moim_2025_election_results_unmatched_to_dglac,primary_ar,قلد السبع,ar,true,high,registry
ALIAS-MUN-MOIM-2025-b04ae3c4d3c3-002,MUN-MOIM-2025-b04ae3c4d3c3,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_قلد_السبع,en,false,high,registry
ALIAS-MUN-MOIM-2025-0f250395f833-001,MUN-MOIM-2025-0f250395f833,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مزرعة آل سويدان,ar,true,high,registry
ALIAS-MUN-MOIM-2025-0f250395f833-002,MUN-MOIM-2025-0f250395f833,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_مزرعة_ال_سويدان,en,false,high,registry
ALIAS-MUN-MOIM-2025-af74cdb31eca-001,MUN-MOIM-2025-af74cdb31eca,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مزرعة التوت,ar,true,high,registry
ALIAS-MUN-MOIM-2025-af74cdb31eca-002,MUN-MOIM-2025-af74cdb31eca,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_مزرعة_التوت,en,false,high,registry
ALIAS-MUN-MOIM-2025-d21d2ede03a1-001,MUN-MOIM-2025-d21d2ede03a1,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مصنع الزهره,ar,true,high,registry
ALIAS-MUN-MOIM-2025-d21d2ede03a1-002,MUN-MOIM-2025-d21d2ede03a1,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_مصنع_الزهره,en,false,high,registry
ALIAS-MUN-MOIM-2025-b99246741f70-001,MUN-MOIM-2025-b99246741f70,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مقراق,ar,true,high,registry
ALIAS-MUN-MOIM-2025-b99246741f70-002,MUN-MOIM-2025-b99246741f70,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_مقراق,en,false,high,registry
